0.06,1.10,0.67,0.18,-0.26,0.92,0
0.06,1.22,0.61,0.18,-0.26,0.92,0
0.55,0.98,0.55,0.18,-0.26,0.92,0
0.73,0.79,0.43,0.18,-0.26,0.92,0
0.98,0.55,0.43,0.18,-0.26,0.92,0
0.85,0.73,0.67,0.19,-0.26,0.92,0
0.67,0.49,0.73,0.18,-0.27,0.92,0
0.49,0.55,0.98,0.18,-0.27,0.92,0
0.24,0.37,0.98,0.18,-0.27,0.92,0
0.18,0.31,0.79,0.18,-0.26,0.91,0
0.31,0.00,0.85,0.18,-0.26,0.91,0
0.55,-0.37,1.16,0.18,-0.26,0.92,0
0.67,-0.73,1.22,0.18,-0.27,0.91,0
0.49,-0.73,1.59,0.18,-0.27,0.91,0
0.24,-0.85,1.89,0.17,-0.27,0.91,0
-0.06,-0.85,2.01,0.17,-0.27,0.92,0
0.00,-0.67,2.08,0.17,-0.27,0.91,0
0.12,-0.67,2.08,0.17,-0.27,0.92,0
0.24,-0.55,2.26,0.17,-0.26,0.91,0
0.55,-0.43,2.62,0.17,-0.26,0.91,0
0.85,-0.43,2.62,0.17,-0.26,0.91,0
1.22,-0.24,2.69,0.17,-0.26,0.91,0
1.53,0.00,2.62,0.17,-0.25,0.91,0
2.44,0.18,2.32,0.17,-0.26,0.91,0
2.69,0.43,2.08,0.18,-0.26,0.91,0
2.87,0.55,1.83,0.17,-0.26,0.90,0
2.87,0.73,1.71,0.18,-0.26,0.90,0
2.69,0.98,1.34,0.18,-0.26,0.91,0
2.50,1.10,1.22,0.18,-0.26,0.90,0
2.44,0.79,0.92,0.17,-0.26,0.90,0
2.62,0.67,0.67,0.18,-0.26,0.90,0
2.44,0.18,0.92,0.17,-0.25,0.90,0
2.87,-0.37,1.22,0.17,-0.26,0.90,0
3.30,-1.16,1.59,0.17,-0.26,0.91,0
2.81,-1.16,1.40,0.15,-0.27,0.92,0
2.20,-0.12,1.53,0.15,-0.26,0.92,0
2.50,0.18,1.34,0.16,-0.26,0.92,0
2.50,-0.79,0.67,0.15,-0.26,0.93,0
2.62,-0.18,0.98,0.16,-0.26,0.93,0
2.44,-0.55,-0.06,0.13,-0.26,0.92,0
2.44,0.49,-0.55,0.18,-0.25,0.92,0
1.53,-3.17,-0.79,0.15,-0.24,0.92,0
1.53,-2.44,-0.79,0.16,-0.25,0.90,0
0.31,-3.60,-0.43,0.14,-0.26,0.89,0
-0.24,-2.93,-0.49,0.17,-0.25,0.90,0
-1.46,-6.23,0.31,0.16,-0.25,0.90,0
-1.71,-5.62,0.49,0.16,-0.26,0.91,0
-2.26,-5.68,1.04,0.15,-0.28,0.92,0
-3.23,-6.35,0.37,0.15,-0.29,0.92,0
-4.58,-7.08,0.24,0.16,-0.29,0.93,0
-5.25,-7.32,0.37,0.15,-0.28,0.93,0
-6.04,-6.90,0.06,0.16,-0.26,0.92,0
-6.35,-6.96,0.06,0.16,-0.25,0.92,0
-5.49,-6.90,0.49,0.15,-0.25,0.93,0
-4.09,-6.65,0.67,0.14,-0.25,0.93,0
-2.99,-6.10,0.73,0.14,-0.25,0.93,0
-1.83,-5.43,1.16,0.13,-0.26,0.93,0
-0.49,-4.88,1.65,0.13,-0.26,0.93,0
0.37,-4.46,1.95,0.13,-0.26,0.92,0
1.53,-3.23,1.53,0.13,-0.27,0.90,0
2.38,-0.92,1.34,0.18,-0.25,0.90,0
3.97,-3.23,2.62,0.17,-0.25,0.89,0
5.74,-4.03,2.50,0.17,-0.26,0.90,0
6.23,-3.05,3.23,0.15,-0.29,0.90,0
5.19,-1.53,3.30,0.18,-0.29,0.92,0
3.60,-2.38,3.66,0.16,-0.29,0.92,0
2.20,-1.83,4.15,0.15,-0.29,0.91,0
1.59,-1.16,4.64,0.17,-0.29,0.92,0
1.10,-1.10,4.39,0.17,-0.28,0.91,0
1.65,-0.18,5.31,0.18,-0.27,0.91,0
3.05,-1.22,5.98,0.18,-0.26,0.89,0
5.31,-1.34,6.71,0.18,-0.27,0.89,0
7.32,-1.16,7.32,0.18,-0.30,0.89,0
8.24,-0.79,8.06,0.17,-0.32,0.89,0
8.85,-0.79,9.52,0.17,-0.32,0.88,0
8.79,-0.92,9.89,0.16,-0.31,0.86,0
9.34,-0.98,10.74,0.17,-0.30,0.84,0
10.68,-1.34,11.96,0.18,-0.30,0.83,0
12.39,-2.32,12.76,0.17,-0.29,0.81,0
15.08,-3.17,13.73,0.19,-0.29,0.79,0
17.46,-4.76,14.28,0.22,-0.30,0.78,0
19.96,-7.20,15.14,0.21,-0.31,0.76,0
20.63,-9.16,15.56,0.22,-0.35,0.76,0
18.31,-10.93,16.97,0.21,-0.38,0.77,0
14.65,-12.33,17.64,0.20,-0.38,0.79,0
9.95,-14.04,18.80,0.19,-0.36,0.80,0
7.08,-15.01,19.90,0.17,-0.33,0.80,0
4.21,-16.72,20.39,0.16,-0.31,0.81,0
3.42,-18.68,21.97,0.12,-0.29,0.80,0
5.13,-18.68,22.83,0.11,-0.28,0.81,0
7.02,-17.88,22.22,0.15,-0.28,0.80,0
8.61,-18.49,22.34,0.18,-0.27,0.81,0
12.57,-19.96,21.97,0.17,-0.27,0.80,0
16.30,-21.36,20.81,0.19,-0.27,0.81,0
19.35,-22.64,20.81,0.21,-0.31,0.83,0
20.51,-23.62,20.32,0.21,-0.34,0.86,0
19.17,-23.68,20.02,0.20,-0.37,0.88,0
15.87,-24.05,19.84,0.19,-0.40,0.89,0
11.84,-24.11,19.90,0.19,-0.40,0.92,0
6.41,-24.66,20.20,0.18,-0.37,0.93,0
2.56,-23.80,21.73,0.17,-0.35,0.93,0
0.98,-23.25,22.09,0.17,-0.31,0.93,0
1.22,-23.32,22.58,0.19,-0.29,0.95,0
3.60,-23.93,23.68,0.20,-0.29,0.96,0
6.16,-23.32,24.35,0.19,-0.33,1.00,0
7.87,-21.97,24.78,0.17,-0.36,1.01,0
9.34,-20.69,25.15,0.18,-0.36,1.02,0
9.34,-19.71,25.51,0.17,-0.35,1.01,0
10.01,-18.01,26.25,0.17,-0.35,1.01,0
10.44,-17.58,26.92,0.16,-0.36,1.01,0
10.80,-16.66,27.71,0.15,-0.36,1.01,0
10.56,-15.93,28.14,0.15,-0.35,1.00,0
10.56,-15.50,28.99,0.16,-0.35,1.00,0
10.44,-15.20,30.03,0.16,-0.34,1.00,0
9.40,-14.77,30.76,0.14,-0.35,1.00,0
7.57,-14.28,31.62,0.13,-0.36,1.00,0
5.74,-13.79,32.04,0.13,-0.34,0.99,0
4.27,-13.37,32.35,0.12,-0.33,0.99,0
2.99,-12.76,32.78,0.12,-0.31,0.98,0
2.20,-12.21,33.14,0.11,-0.30,0.98,0
1.65,-10.99,33.87,0.10,-0.31,0.99,0
1.34,-10.50,33.87,0.08,-0.31,0.99,0
-0.06,-10.01,33.08,0.07,-0.29,0.99,0
-0.61,-9.28,32.04,0.06,-0.27,0.99,0
-0.49,-8.79,30.58,0.07,-0.25,1.00,0
-0.37,-8.85,29.24,0.07,-0.23,0.98,0
0.18,-8.42,28.02,0.07,-0.22,0.99,0
0.85,-7.87,26.86,0.07,-0.24,0.98,0
1.28,-7.26,25.39,0.07,-0.24,0.98,0
0.18,-6.59,23.99,0.05,-0.26,0.99,0
-2.14,-5.49,23.19,0.04,-0.28,0.99,0
-4.21,-4.76,21.67,0.02,-0.27,0.98,0
-6.04,-4.09,20.14,0.02,-0.25,0.98,0
-6.71,-3.42,19.04,0.02,-0.23,0.98,0
-6.77,-3.17,17.94,0.03,-0.23,0.97,0
-6.59,-2.87,17.40,0.05,-0.22,0.97,0
